;codigo_fundo;setor;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;patrimonio_liquido;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
125;SADI11;Títulos e Val. Mob.;R$ 90,40;5332.0;R$ 1,05;1,16%;3,51%;6,97%;12,37%;1,17%;1,16%;1,03%;10,83%;-0,28%;0,88%;11,71%;R$ 318.287.669,07;R$ 100,08;90.0;1,05%;0,15%;1,20%;9,73%;;;0
126;TGAR11;Outros;R$ 122,12;28456.0;R$ 1,55;1,25%;3,78%;7,74%;14,16%;1,26%;1,29%;1,18%;12,09%;-1,01%;0,22%;14,09%;R$ 1.322.809.051,32;R$ 116,96;104.0;1,33%;-1,87%;-0,57%;-0,27%;;;0
127;HBRH11;Híbrido;R$ 94,08;173.0;R$ 0,61;0,64%;2,04%;4,39%;10,50%;0,68%;0,73%;0,87%;7,89%;0,81%;1,45%;14,72%;R$ 313.750.423,60;R$ 113,18;83.0;0,54%;0,01%;0,55%;6,80%;;;3
128;HLOG11;Logística;R$ 87,15;1075.0;R$ 0,65;0,69%;2,03%;4,27%;8,42%;0,68%;0,71%;0,70%;7,10%;-3,50%;-2,84%;8,25%;R$ 472.300.435,89;R$ 111,13;78.0;0,58%;0,03%;0,61%;4,59%;58,00%;0,00%;3
129;RBCO11;Lajes Corporativas;R$ 44,00;2717.0;R$ 0,20;0,45%;1,50%;4,23%;8,64%;0,50%;0,70%;0,72%;7,12%;5,64%;6,12%;-15,03%;R$ 340.942.316,64;R$ 90,22;49.0;0,22%;1,03%;1,25%;-7,08%;46,00%;50,00%;4
130;VOTS11;Títulos e Val. Mob.;R$ 83,47;116.0;R$ 0,77;0,92%;2,94%;7,15%;14,02%;0,98%;1,19%;1,17%;12,25%;-3,35%;-2,47%;12,65%;R$ 78.573.550,61;R$ 94,91;88.0;0,81%;0,55%;1,37%;8,57%;;;0
131;JFLL11;Residencial;R$ 66,25;2128.0;R$ 0,62;0,86%;2,51%;5,23%;10,19%;0,84%;0,87%;0,85%;8,46%;-0,70%;0,15%;-0,40%;R$ 150.748.622,50;R$ 100,46;66.0;0,62%;0,03%;0,65%;6,74%;28,00%;;2
132;HUSI11;Hospital;R$ 91,23;32.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
133;HUSI11;Hospital;R$ 91,22;1350.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
134;HUSI11;Hospital;R$ 91,10;1476.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
135;HUSI11;Hospital;R$ 91,13;1247.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
136;HUSI11;Hospital;R$ 91,36;2510.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
137;HUSI11;Hospital;R$ 91,50;1800.0;R$ 7,87;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,24%;1,24%;1,94%;8,84%;R$ 116.353.437,37;R$ 999,93;9.0;0,79%;0,84%;1,63%;4,28%;;;0
